imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt6390668,Invisible Life,Invisible Life (2019),Movie,2019,7.8,81,8,,,7.2,
tt0052357,Vertigo,Vertigo (1958),Movie,1958,8.3,100,8.2,,9.5,8.2,
tt8923482,One Child Nation,One Child Nation (2019),Movie,2019,7.5,85,7.3,,,6.9,
tt1605783,Midnight in Paris,Midnight in Paris (2011),Movie,2011,7.7,81,7.5,,,7.3,
tt0144117,The Boondock Saints,The Boondock Saints (1999),Movie,1999,7.8,44,7.3,28,,6.6,
tt0217869,Unbreakable,Unbreakable (2000),Movie,2000,7.3,62,7.1,70,,6.7,
tt3019620,Titli,Titli (2014),Movie,2014,7.6,,7,,,6.3,
tt4016934,The Handmaiden,The Handmaiden (2016),Movie,2016,8.1,84,8.3,,,7.6,
tt0047296,On the Waterfront,On the Waterfront (1954),Movie,1954,8.1,91,8,99,,8.1,
tt0096754,The Abyss,The Abyss (1989),Movie,1989,7.5,62,7.3,,9,6.7,
tt0089881,Ran,Ran (1985),Movie,1985,8.2,96,8.1,96,,8.1,
tt0099077,Awakenings,Awakenings (1990),Movie,1990,7.8,74,7.8,,,7.3,
tt0082010,An American Werewolf in London,An American Werewolf in London (1981),Movie,1981,7.5,55,7.4,88,,6.7,
tt0112870,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge (1995),Movie,1995,8.1,,8.8,,,6.8,
tt0088930,Clue,Clue (1985),Movie,1985,7.3,39,7.3,66,,6.3,
tt1754656,The Little Prince,The Little Prince (2015),Movie,2015,7.7,70,7.6,,,7.1,
tt1307068,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World (2012),Movie,2012,6.7,59,6.6,55,,6,
tt0042804,Los Olvidados,Los Olvidados (1950),Movie,1950,8.3,,8.1,90,,8.3,
tt5247022,Paterson,Paterson (2016),Movie,2016,7.4,90,7.1,,,6.8,
tt0107471,My Favorite Season,My Favorite Season (1993),Movie,1993,7,,6.6,93,,6.7,
tt0248667,Ali,Ali (2001),Movie,2001,6.8,65,6.8,68,,6.4,
tt1838556,Honest Thief,Honest Thief (2020),Movie,2020,6,46,6.5,40,,4.8,
tt1488589,Pinocchio,Pinocchio (2021),Movie,2021,,,6.6,,,,
tt0065329,The Odd Couple,The Odd Couple (TV Series 1970–1975),TVSeries,1970,7.8,,8.1,,,6.2,
tt1234548,The Men Who Stare at Goats,The Men Who Stare at Goats (2009),Movie,2009,6.2,54,6,51,,5.4,
tt1833116,The Informer,The Informer (2019),Movie,2019,6.6,61,6.5,62,,5.7,
tt1174730,City Island,City Island (2009),Movie,2009,7.4,66,6.9,,,6.2,
